Season,Game_ID,Game_Date,Away_Team,Home_Team,home_team_score,away_team_score,wins_home,wins_away,loss_home,loss_away,largest_lead_home,largest_lead_away,result_win,ASG_Count,day,rivalry,Home_Team_Twitter,Away_Team_Twitter,Home_Team_Rank,Away_Team_Rank,Holiday,Rounded Viewers
2016-17,21600001,2016-10-25,22,1,117,88,0,0,0,0,32,4,1,4,1,0,2100000,1780000,11,1,0,57691
2016-17,21600002,2016-10-25,20,2,113,104,0,0,0,0,13,8,1,1,1,0,823000,632000,17,20,0,40740
2016-17,21600003,2016-10-25,23,3,100,129,0,0,0,0,4,29,2,5,1,0,3500000,2300000,3,12,0,60428
2016-17,21600004,2016-10-26,19,4,108,96,0,0,0,0,19,7,1,0,2,0,1500000,4090000,19,10,0,22756
2016-17,21600005,2016-10-26,30,5,121,130,0,0,0,0,1,14,2,1,2,0,930000,1200000,24,9,0,33922
2016-17,21600006,2016-10-26,16,6,122,117,0,0,0,0,23,4,1,1,2,0,2300000,755000,5,7,0,23947
2016-17,21600007,2016-10-26,17,7,109,91,0,0,0,0,20,7,1,2,2,0,1400000,710000,13,21,0,14887
2016-17,21600008,2016-10-26,29,8,96,107,0,0,0,0,0,24,2,2,2,0,695000,726000,27,28,0,12046
2016-17,21600009,2016-10-26,27,9,98,102,0,0,0,0,17,6,2,1,2,0,766000,645000,26,29,0,21853
2016-17,21600011,2016-10-26,18,10,97,103,0,0,0,0,11,6,2,1,2,0,925000,1800000,25,17,0,42455
2016-17,21600012,2016-10-26,15,11,94,113,0,0,0,0,4,26,2,1,2,0,753000,714000,14,15,0,14435
2016-17,21600013,2016-10-26,26,12,114,120,0,0,0,0,10,6,2,1,2,0,6170000,1710000,2,8,0,34087
2016-17,21600014,2016-10-27,28,13,114,99,0,0,0,0,19,6,1,2,3,0,991000,662000,23,18,0,27848
2016-17,21600015,2016-10-27,6,14,99,105,1,0,0,0,1,15,2,2,3,0,3600000,2300000,4,5,0,50539
2016-17,21600016,2016-10-27,23,15,94,102,1,1,0,0,11,11,2,2,3,0,714000,2300000,15,12,0,27634
2016-17,21600017,2016-10-27,25,2,114,106,0,1,0,0,15,6,1,1,3,0,823000,1100000,17,6,0,29674
2016-17,21600018,2016-10-28,1,7,94,91,1,1,0,0,12,1,1,5,4,0,1400000,2100000,13,11,0,48951
2016-17,21600019,2016-10-28,5,16,103,94,0,1,1,0,14,10,1,1,4,0,755000,930000,7,24,0,23043
2016-17,21600020,2016-10-28,4,17,82,108,0,0,1,1,1,35,2,0,4,0,710000,1500000,21,19,0,10691
2016-17,21600021,2016-10-28,11,18,110,113,0,1,1,0,18,4,2,1,4,0,1800000,753000,16,14,0,37236
2016-17,21600022,2016-10-28,29,19,91,97,1,1,0,0,19,10,2,1,4,0,4090000,726000,10,28,0,12886
2016-17,21600024,2016-10-28,12,20,89,96,1,0,0,1,4,11,2,1,4,0,632000,6170000,20,2,0,25043
2016-17,21600025,2016-10-28,3,21,114,122,0,0,1,1,2,16,2,5,4,0,659000,3500000,30,3,0,46471
2016-17,21600028,2016-10-29,9,22,111,104,0,1,1,0,18,0,1,2,5,0,1780000,766000,1,26,0,32002
2016-17,21600029,2016-10-29,4,1,105,99,2,0,0,2,22,3,1,3,5,0,2100000,1500000,11,19,0,31859
2016-17,21600030,2016-10-29,5,14,118,101,1,1,0,1,29,2,1,2,5,0,3600000,930000,4,24,0,22190
2016-17,21600031,2016-10-29,16,8,110,108,0,1,1,1,11,1,1,1,5,0,695000,755000,27,7,0,21567
2016-17,21600032,2016-10-29,21,23,79,98,0,2,2,0,3,27,2,2,5,0,2300000,659000,12,30,0,23391
2016-17,21600033,2016-10-29,2,24,113,115,1,1,0,1,12,14,2,0,5,0,634000,823000,22,17,0,27076
2016-17,21600034,2016-10-29,27,15,103,106,0,1,1,1,18,10,2,1,5,0,714000,645000,15,29,0,22179
2016-17,21600035,2016-10-30,20,25,88,75,1,1,0,1,22,5,1,2,6,0,1100000,632000,6,20,0,28903
2016-17,21600036,2016-10-30,3,11,106,100,1,0,1,2,8,13,1,4,6,0,753000,3500000,14,3,0,50617
2016-17,21600037,2016-10-30,23,19,99,106,1,3,1,0,3,16,2,1,6,0,4090000,2300000,10,12,0,32314
2016-17,21600038,2016-10-30,8,17,83,98,1,1,1,1,3,16,2,1,6,0,710000,695000,21,27,0,12556
2016-17,21600039,2016-10-30,28,9,112,103,1,0,1,1,15,8,1,2,6,0,766000,662000,26,18,0,14195
2016-17,21600040,2016-10-30,12,18,96,113,1,2,1,0,8,19,2,1,6,0,1800000,6170000,16,2,0,36658
2016-17,21600041,2016-10-30,30,26,92,93,0,1,2,1,3,17,2,1,6,3,1710000,1200000,8,9,0,24543
2016-17,21600042,2016-10-31,24,7,102,105,1,1,1,1,6,19,2,2,0,0,1400000,634000,13,22,0,24322
2016-17,21600043,2016-10-31,14,16,118,88,2,1,0,2,33,0,1,1,0,0,755000,3600000,7,4,0,33346
2016-17,21600044,2016-10-31,15,13,106,95,2,2,0,1,13,6,1,2,0,0,991000,714000,23,15,0,23520
2016-17,21600045,2016-10-31,11,25,116,98,2,0,0,3,22,3,1,1,0,0,1100000,753000,6,14,0,22836
2016-17,21600046,2016-11-01,4,10,103,101,0,0,3,2,2,18,1,0,1,0,925000,1500000,25,19,0,21285
2016-17,21600047,2016-11-01,26,1,128,120,3,2,0,1,10,9,1,4,1,0,2100000,1710000,11,8,0,45160
2016-17,21600051,2016-11-01,8,21,113,117,0,1,3,2,9,12,2,2,1,0,659000,695000,30,27,0,14356
2016-17,21600052,2016-11-01,9,27,116,80,0,2,2,1,40,3,1,1,1,0,645000,766000,29,26,0,12816
2016-17,21600054,2016-11-01,3,2,127,104,2,2,1,1,35,7,1,4,1,0,823000,3500000,17,3,0,37632
2016-17,21600055,2016-11-02,7,28,113,103,2,0,1,2,12,12,1,3,2,0,662000,1400000,18,13,0,18661
2016-17,21600056,2016-11-02,10,29,93,109,0,2,3,1,13,18,2,1,2,0,726000,925000,28,25,0,12396
2016-17,21600057,2016-11-02,17,16,109,101,1,3,3,1,21,3,1,0,2,0,755000,710000,7,21,0,12283
2016-17,21600058,2016-11-02,26,22,118,99,2,1,2,2,28,2,1,2,2,0,1780000,1710000,1,8,0,22497
2016-17,21600059,2016-11-02,12,13,116,123,3,1,0,3,12,7,2,1,2,0,991000,6170000,23,2,0,22293
2016-17,21600060,2016-11-02,21,9,83,89,0,2,4,2,7,10,2,2,2,0,766000,659000,26,30,0,11902
2016-17,21600062,2016-11-02,30,20,81,97,0,2,3,2,1,20,2,1,2,0,632000,1200000,20,9,0,10241
